regiao,,,,,,,data,,,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Brasil,,,,,,,2022-07-01,,,32434063,76045,671700,284
Brasil,,,,,,,2022-07-02,,,32471847,37784,671858,158
Brasil,,,,,,,2022-07-03,,,32490422,18575,671911,53
Brasil,,,,,,,2022-07-04,,,32535923,45501,672033,122
Brasil,,,,,,,2022-07-05,,,32610514,74591,672429,396
Brasil,,,,,,,2022-07-06,,,32687680,77166,672790,361
Brasil,,,,,,,2022-07-07,,,32759730,72050,673073,283
Brasil,,,,,,,2022-07-08,,,32830844,71114,673339,266
Brasil,,,,,,,2022-07-09,,,32874501,43657,673554,215
Brasil,,,,,,,2022-07-10,,,32896464,21963,673610,56
Brasil,,,,,,,2022-07-11,,,32940507,44043,673758,148
Brasil,,,,,,,2022-07-12,,,33004555,64048,674102,344
Brasil,,,,,,,2022-07-13,,,33076779,72224,674482,380
Brasil,,,,,,,2022-07-14,,,33142158,65379,674779,297
Brasil,,,,,,,2022-07-15,,,33250117,107959,675090,311
Brasil,,,,,,,2022-07-16,,,33290266,40149,675295,205
Brasil,,,,,,,2022-07-17,,,33301118,10852,675350,55
Brasil,,,,,,,2022-07-18,,,33339815,38697,675518,168
Brasil,,,,,,,2022-07-19,,,33397814,57999,675871,353
Brasil,,,,,,,2022-07-20,,,33454294,56480,676217,346
Brasil,,,,,,,2022-07-21,,,33505727,51433,676486,269
Brasil,,,,,,,2022-07-22,,,33555526,49799,676766,280
Brasil,,,,,,,2022-07-23,,,33581533,26007,676927,161
Brasil,,,,,,,2022-07-24,,,33591356,9823,676964,37
Brasil,,,,,,,2022-07-25,,,33621965,30609,677143,179
Brasil,,,,,,,2022-07-26,,,33659879,37914,677494,351
Brasil,,,,,,,2022-07-27,,,33704393,44514,677804,310
Brasil,,,,,,,2022-07-28,,,33748985,44592,678069,265
Brasil,,,,,,,2022-07-29,,,33790698,41713,678313,244
Brasil,,,,,,,2022-07-30,,,33813587,22889,678486,173
Brasil,,,,,,,2022-07-31,,,33833900,20313,678514,28
Brasil,,,,,,,2022-08-01,,,33855964,22064,678715,201
Brasil,,,,,,,2022-08-02,,,33890428,34464,679010,295
Brasil,,,,,,,2022-08-03,,,33924061,33633,679275,265
Brasil,,,,,,,2022-08-04,,,33964494,40433,679536,261
Brasil,,,,,,,2022-08-05,,,33994470,29976,679758,222
Brasil,,,,,,,2022-08-06,,,34011173,16703,679939,181
Brasil,,,,,,,2022-08-07,,,34018371,7198,679996,57
Brasil,,,,,,,2022-08-08,,,34035780,17409,680166,170
Brasil,,,,,,,2022-08-09,,,34066000,30220,680531,365
Brasil,,,,,,,2022-08-10,,,34096935,30935,680786,255
Brasil,,,,,,,2022-08-11,,,34124579,27644,681006,220
Brasil,,,,,,,2022-08-12,,,34148131,23552,681253,247
Brasil,,,,,,,2022-08-13,,,34165857,17726,681400,147
Brasil,,,,,,,2022-08-14,,,34170286,4429,681437,37
Brasil,,,,,,,2022-08-15,,,34178240,7954,681557,120
Brasil,,,,,,,2022-08-16,,,34201280,23040,681763,206
Brasil,,,,,,,2022-08-17,,,34223207,21927,682010,247
Brasil,,,,,,,2022-08-18,,,34245374,22167,682216,206
Brasil,,,,,,,2022-08-19,,,34264237,18863,682358,142
Brasil,,,,,,,2022-08-20,,,34279785,15548,682502,144
Brasil,,,,,,,2022-08-21,,,34284864,5079,682549,47
Brasil,,,,,,,2022-08-22,,,34291082,6218,682671,122
Brasil,,,,,,,2022-08-23,,,34311323,20241,682874,203
Brasil,,,,,,,2022-08-24,,,34329600,18277,683076,202
Brasil,,,,,,,2022-08-25,,,34350639,21039,683233,157
Brasil,,,,,,,2022-08-26,,,34368909,18270,683397,164
Brasil,,,,,,,2022-08-27,,,34381295,12386,683472,75
Brasil,,,,,,,2022-08-28,,,34384747,3452,683494,22
Brasil,,,,,,,2022-08-29,,,34397205,12458,683622,128
Brasil,,,,,,,2022-08-30,,,34414011,16806,683851,229
Brasil,,,,,,,2022-08-31,,,34429853,15842,683965,114
Brasil,,,,,,,2022-09-01,,,34444674,14821,684147,182
Brasil,,,,,,,2022-09-02,,,34456145,11471,684262,115
Brasil,,,,,,,2022-09-03,,,34467867,11722,684354,92
Brasil,,,,,,,2022-09-04,,,34470776,2909,684369,15
Brasil,,,,,,,2022-09-05,,,34477539,6763,684425,56
Brasil,,,,,,,2022-09-06,,,34490931,13392,684580,155
Brasil,,,,,,,2022-09-07,,,34499823,8892,684637,57
Brasil,,,,,,,2022-09-08,,,34504029,4206,684722,85
Brasil,,,,,,,2022-09-09,,,34516739,12710,684813,91
Brasil,,,,,,,2022-09-10,,,34526148,9409,684853,40
Brasil,,,,,,,2022-09-11,,,34528625,2477,684860,7
Brasil,,,,,,,2022-09-12,,,34533957,5332,684898,38
Brasil,,,,,,,2022-09-13,,,34544377,10420,685002,104
Brasil,,,,,,,2022-09-14,,,34558902,14525,685121,119
Brasil,,,,,,,2022-09-15,,,34568833,9931,685203,82
Brasil,,,,,,,2022-09-16,,,34579085,10252,685300,97
Brasil,,,,,,,2022-09-17,,,34582063,2978,685334,34
Brasil,,,,,,,2022-09-18,,,34587047,4984,685376,42
Brasil,,,,,,,2022-09-19,,,34592027,4980,685428,52
Brasil,,,,,,,2022-09-20,,,34600768,8741,685518,90
Brasil,,,,,,,2022-09-21,,,34607947,7179,685604,86
Brasil,,,,,,,2022-09-22,,,34616655,8708,685677,73
Brasil,,,,,,,2022-09-23,,,34624427,7772,685750,73
Brasil,,,,,,,2022-09-24,,,34630994,6567,685782,32
Brasil,,,,,,,2022-09-25,,,34632220,1226,685805,23
Brasil,,,,,,,2022-09-26,,,34638288,6068,685835,30
Brasil,,,,,,,2022-09-27,,,34646577,8289,685881,46
Brasil,,,,,,,2022-09-28,,,34654190,7613,685927,46
Brasil,,,,,,,2022-09-29,,,34663731,9541,685978,51
Brasil,,,,,,,2022-09-30,,,34672524,8793,686036,58
Brasil,,,,,,,2022-10-01,,,34678510,5986,686254,218
Brasil,,,,,,,2022-10-02,,,34679533,1023,686320,66
Brasil,,,,,,,2022-10-03,,,34684529,4996,686371,51
Brasil,,,,,,,2022-10-04,,,34691896,7367,686464,93
Brasil,,,,,,,2022-10-05,,,34699017,7121,686573,109
Brasil,,,,,,,2022-10-06,,,34707233,8216,686706,133
Brasil,,,,,,,2022-10-07,,,34715137,7904,686803,97
Brasil,,,,,,,2022-10-08,,,34719025,3888,686842,39
Brasil,,,,,,,2022-10-09,,,34719507,482,686851,9
Brasil,,,,,,,2022-10-10,,,34724189,4682,686877,26
Brasil,,,,,,,2022-10-11,,,34731539,7350,686963,86
Brasil,,,,,,,2022-10-12,,,34736653,5114,687026,63
Brasil,,,,,,,2022-10-13,,,34739865,3212,687069,43
Brasil,,,,,,,2022-10-14,,,34746462,6597,687144,75
Brasil,,,,,,,2022-10-15,,,34748678,2216,687153,9
Brasil,,,,,,,2022-10-16,,,34749058,380,687155,2
Brasil,,,,,,,2022-10-17,,,34754590,5532,687243,88
Brasil,,,,,,,2022-10-18,,,34762873,8283,687326,83
Brasil,,,,,,,2022-10-19,,,34771320,8447,687423,97
Brasil,,,,,,,2022-10-20,,,34776259,4939,687483,60
Brasil,,,,,,,2022-10-21,,,34780462,4203,687527,44
Brasil,,,,,,,2022-10-22,,,34782150,1688,687566,39
Brasil,,,,,,,2022-10-23,,,34783786,1636,687574,8
Brasil,,,,,,,2022-10-24,,,34793309,9523,687666,92
Brasil,,,,,,,2022-10-25,,,34799324,6015,687710,44
Brasil,,,,,,,2022-10-26,,,34807075,7751,687907,197
Brasil,,,,,,,2022-10-27,,,34815258,8183,687962,55
Brasil,,,,,,,2022-10-28,,,34822227,6969,688080,118
Brasil,,,,,,,2022-10-29,,,34824069,1842,688091,11
Brasil,,,,,,,2022-10-30,,,34824866,797,688092,1
Brasil,,,,,,,2022-10-31,,,34828749,3883,688157,65
Brasil,,,,,,,2022-11-01,,,34837035,8286,688219,62
Brasil,,,,,,,2022-11-02,,,34839337,2302,688228,9
Brasil,,,,,,,2022-11-03,,,34846308,6971,688267,39
Brasil,,,,,,,2022-11-04,,,34849063,2755,688332,65
Brasil,,,,,,,2022-11-05,,,34850373,1310,688342,10
Brasil,,,,,,,2022-11-06,,,34851450,1077,688348,6
Brasil,,,,,,,2022-11-07,,,34855492,4042,688395,47
Brasil,,,,,,,2022-11-08,,,34868153,12661,688487,92
Brasil,,,,,,,2022-11-09,,,34877559,9406,688567,80
Brasil,,,,,,,2022-11-10,,,34889576,12017,688607,40
Brasil,,,,,,,2022-11-11,,,34908198,18622,688656,49
Brasil,,,,,,,2022-11-12,,,34911937,3739,688654,-2
Brasil,,,,,,,2022-11-13,,,34912931,994,688658,4
Brasil,,,,,,,2022-11-14,,,34921054,8123,688694,36
Brasil,,,,,,,2022-11-15,,,34923127,2073,688702,8
Brasil,,,,,,,2022-11-16,,,34938073,14946,688764,62
Brasil,,,,,,,2022-11-17,,,34971043,32970,688835,71
Brasil,,,,,,,2022-11-18,,,34999495,28452,688907,72
Brasil,,,,,,,2022-11-19,,,35007209,7714,688920,13
Brasil,,,,,,,2022-11-20,,,35011534,4325,688928,8
Brasil,,,,,,,2022-11-21,,,35035294,23760,689039,111
Brasil,,,,,,,2022-11-22,,,35052152,16858,689155,116
Brasil,,,,,,,2022-11-23,,,35082036,29884,689272,117
Brasil,,,,,,,2022-11-24,,,35104673,22637,689341,69
Brasil,,,,,,,2022-11-25,,,35149503,44830,689442,101
